Scen_fut,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_idv_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_140,3496.9179549001424,10.152279712,7471.2430540717,1148.3455651188,1354.7092122618,1354.7092122618,0.136,2631.631759143671,0.0715546323,3.825963673097662,0
Scenario1_141,3492.801963565014,9.3235014136,5247.7785254032,1131.2195203866,654.1097001165,654.1097001165,0.089,2631.6397629579546,0.0868320518,3.293047596645736,0
Scenario1_142,3621.593231310743,10.2265757236,4340.5514040538,828.5692347898,1692.0713156367,1692.0713156367,0.12,2631.6261047437056,0.0607616981,0.0,1
Scenario1_143,3543.5478348538713,13.4057805593,6436.5370864587,509.3386401624,642.2001915363,642.2001915363,0.074,2631.62186500257,0.0526690186,0.0,1
Scenario1_144,3661.4464113605713,8.0178986221,6649.2915159222,1133.7567794718,626.8223542685,626.8223542685,0.083,2631.660899482355,0.1271767599,0.4556362884745411,0
Scenario1_145,3595.4729232375857,8.4809555574,6166.3122512096,496.050650773,1612.0346247715,1612.0346247715,0.09,2631.6505584666793,0.1074381666,0.0,1
Scenario1_146,3483.121213825943,7.6123546954,4293.2271130944,1048.2048405581,1651.7446057645,1651.7446057645,0.132,2631.6253000322845,0.0592256912,2.568404124534977,0
Scenario1_147,3645.4436989134997,7.5437268107,5038.601648555,482.8620503012,1032.040378114,1032.040378114,0.145,2631.626848126326,0.0621806426,0.0,1
Scenario1_148,3484.250548105843,13.2617053971,5294.4746468851,501.3657191754,602.9539173506,602.9539173506,0.084,2631.6331972290213,0.0742996027,0.0,1
Scenario1_149,3569.3113478965856,11.0859643931,4911.2971283734,629.7450942317,1095.8346767123,1095.8346767123,0.12,2631.6591209099943,0.1237818791,0.0,1
Scenario1_150,3549.0929082779717,9.1297061369,4460.6574167774,431.729304452,1335.2203958065,1335.2203958065,0.133,2631.647775774067,0.1021266538,0.0,1
Scenario1_151,3668.6160258667996,12.6005523495,4857.9513539214,531.8000896708,879.9954025569,879.9954025569,0.114,2631.6194516624705,0.0480625137,0.0,1
Scenario1_152,3523.922586237157,14.0963006672,6535.3732318318,711.2340334586,691.7990449231,691.7990449231,0.081,2631.6615685300653,0.1284538164,0.0,1
Scenario1_153,3515.1241731489285,15.3121072498,4729.3326286552,584.0437450117,1313.5839533246,1313.5839533246,0.125,2631.657168797028,0.1200557495,0.0,1
Scenario1_154,3497.690452849557,7.4205312979,5114.1512953499,506.1631624093,1151.719934159,1151.719934159,0.081,2631.6344354284433,0.0766630373,0.0,1
Scenario1_155,3672.485650289843,17.4426049473,4876.8858960597,432.285702053,1459.6930246167,1459.6930246167,0.114,2631.63508234755,0.0778978554,0.0,1
Scenario1_156,3628.9574313774715,13.7420858678,5089.7908953613,946.6859337737,1476.0139863565,1476.0139863565,0.088,2631.6228120847654,0.0544767782,0.0,1
Scenario1_157,3635.7458953994715,10.4511402838,4783.3050664808,485.9015350602,644.9556073058,644.9556073058,0.082,2631.634908638361,0.077566285,0.0,1
Scenario1_158,3585.733640700871,16.524104677,6896.5355757651,463.759686322,1552.9413987443,1552.9413987443,0.078,2631.630899610713,0.0699139838,0.0,1
Scenario1_159,3553.8322767547284,11.0650804491,5939.9676877873,456.7453519388,1521.2746716221,1521.2746716221,0.097,2631.6379544575584,0.0833800453,0.0,1
Scenario1_160,3567.408033133271,13.8583830903,6392.673832565,792.9564150159,611.2980493021,611.2980493021,0.091,2631.6389081483635,0.0852004192,0.1133917508784062,0
Scenario1_161,3583.858060883714,9.6165990455,4128.7598838122,528.6145654818,809.8719453179,809.8719453179,0.118,2631.6387681181645,0.0849331341,0.0,1
Scenario1_162,3471.8663137992285,9.7249784932,7417.400302545,640.0300485395,1453.6024588146,1453.6024588146,0.088,2631.6513401439224,0.1089302066,0.0,1
Scenario1_163,3503.930480294457,10.8290032007,4746.0039109203,723.8457920194,667.5874040124,667.5874040124,0.125,2631.6593952827966,0.1243055929,0.0115819758431685,0
Scenario1_164,3655.731530439,16.5009487596,4055.3523671025,1094.2795869861,1083.2872992952,1083.2872992952,0.097,2631.639655273802,0.0866265078,6.082204533312359,0
Scenario1_165,3608.2214868885426,17.7510917191,5188.1747102533,540.5154292623,1525.8546114344,1525.8546114344,0.112,2631.634226290997,0.0762638426,0.0,1
Scenario1_166,3508.9276797628854,16.8147952069,6824.2409852967,405.0258441058,652.2209724706,652.2209724706,0.135,2631.656643642565,0.1190533518,0.0,1
Scenario1_167,3471.2621057384854,10.9044550372,4443.7546223185,1074.6854638504,1247.2098424994,1247.2098424994,0.126,2631.6325264951815,0.0730193278,0.7501717186699912,0
Scenario1_168,3505.058612866557,17.0665918643,6883.0302977985,1029.7292072668,1190.0827881096,1190.0827881096,0.115,2631.65770577955,0.1210807242,0.6784277189994657,0
Scenario1_169,3520.252898303757,9.7675729469,4509.6442298999,970.8568252142,704.9983655804,704.9983655804,0.105,2631.637168379729,0.0818796056,0.1418422377722314,0
Scenario1_170,3623.105241339929,12.1330159001,4308.791243316,986.9174560067,1446.0818023885,1446.0818023885,0.139,2631.6481025605717,0.1027504132,0.3198996534517436,0
Scenario1_171,3472.3264488360714,10.6182642273,5194.2772466213,697.4204929482,1636.9807446004,1636.9807446004,0.079,2631.6445301936346,0.0959315957,0.0,1
Scenario1_172,3505.637823611357,15.77887893,6191.9353677585,809.0922227234,815.6942468971,815.6942468971,0.135,2631.645237387801,0.0972814649,0.0,1
Scenario1_173,3496.369567565314,12.8583145594,4879.6787747898,895.3036892199,890.6106310939,890.6106310939,0.119,2631.619980219918,0.0490714069,0.0,1
Scenario1_174,3486.551283068214,17.7822776554,5578.4399418081,504.4648612286,1155.1207494455,1155.1207494455,0.131,2631.6386441759423,0.0846965572,0.0,1
Scenario1_175,3495.2238881104,14.0460208024,5999.8550092892,443.2363234813,1164.6027787941,1164.6027787941,0.082,2631.640764138388,0.0887430724,0.0,1
Scenario1_176,3556.743189518171,9.4043691641,6416.860110521,1052.2637931178,1540.424858518,1540.424858518,0.108,2631.6573941856464,0.120485964,1.0054500148872862,0
Scenario1_177,3560.0887185113857,13.1606607484,5830.9461428275,908.5918841885,1231.8224660277,1231.8224660277,0.143,2631.6220935410574,0.0531052454,0.0,1
Scenario1_178,3634.3698418856284,16.9103404,5365.5257295917,729.0716435645,1045.1567654041,1045.1567654041,0.104,2631.663539819982,0.1322165503,0.0,1
Scenario1_179,3588.167179214757,11.1720605322,5613.6874375397,746.1377309823,643.2909142102,643.2909142102,0.135,2631.6410068613686,0.0892063741,0.0,1
Scenario1_180,3486.9074914169287,9.1142378611,4707.2116004305,828.2916233491,980.6061431772,980.6061431772,0.091,2631.6450826865553,0.0969861762,0.198437242151065,0
Scenario1_181,3482.265577505171,7.2519525869,5422.723695972,1114.5225586375,616.9750966098,616.9750966098,0.111,2631.646121122402,0.0989683087,2.7470541215666926,0
Scenario1_182,3614.548689245214,14.4063048911,7066.2284746481,550.1892147375,1471.4246386794,1471.4246386794,0.092,2631.628110249718,0.0645897425,0.0,1
Scenario1_183,3679.477091982186,8.5917185,4255.4650445338,838.6481965942,1303.4170742272,1303.4170742272,0.113,2631.6474655626125,0.1015345323,0.3273038975551727,0
Scenario1_184,3492.671233408414,12.8717009718,5277.260682005,452.3432542602,1484.4315880828,1484.4315880828,0.123,2631.644295411455,0.0954834512,0.0,1
Scenario1_185,3662.2838426491285,15.002483669,6313.4453825308,978.6088357766,1143.1314714372,1143.1314714372,0.094,2631.636869998314,0.0813100649,0.0,1
Scenario1_186,3488.4832539693853,8.8359728669,4828.7479362686,939.8220470244,1286.8120978861,1286.8120978861,0.095,2631.6289201782383,0.0661357077,0.0,1
Scenario1_187,3533.9301441628713,17.583302049,4505.9158065075,795.4264263406,1294.4088365202,1294.4088365202,0.091,2631.633668814254,0.0751997492,0.0,1
Scenario1_188,3535.992415449214,8.1234903862,4572.7319927458,562.298274852,672.5783717906,672.5783717906,0.096,2631.659925179544,0.1253170425,0.0,1
Scenario1_189,3541.064249746957,9.9787680955,5433.0196066713,493.2737740394,721.1217830185,721.1217830185,0.143,2631.621927452536,0.052788221,0.0,1
