Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,CapitalInvestment,TotalTechnologyAnnualActivity,TotalCapacityAnnual,CapitalInvestmentStorage,AnnualVariableOperatingCost,AnnualTechnologyEmission,AnnualFixedOperatingCost,NewCapacity,Scen_fut
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2034,,,,,,,,,,,,,,,194.78167,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2035,,,,,,,,,,,,,,,188.77964,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2036,,,,,,,,,,,,,,,180.67158,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2037,,,,,,,,,,,,,,,165.81351,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2038,,,,,,,,,,,,,,,157.80144,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2039,,,,,,,,,,,,,,,144.98165,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2040,,,,,,,,,,,,,,,138.45767,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2041,,,,,,,,,,,,,,,140.13865,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2042,,,,,,,,,,,,,,,138.90692,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2043,,,,,,,,,,,,,,,136.76332,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2044,,,,,,,,,,,,,,,133.52427,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2045,,,,,,,,,,,,,,,128.90902,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2046,,,,,,,,,,,,,,,122.54207,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2047,,,,,,,,,,,,,,,118.46305,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2048,,,,,,,,,,,,,,,111.74011,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2049,,,,,,,,,,,,,,,102.98719,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2050,,,,,,,,,,,,,,,93.551832,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2051,,,,,,,,,,,,,,,47.587156,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2052,,,,,,,,,,,,,,,37.780875,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2053,,,,,,,,,,,,,,,28.022589,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2054,,,,,,,,,,,,,,,19.479515,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2055,,,,,,,,,,,,,,,14.842903,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2056,,,,,,,,,,,,,,,14.573067,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2057,,,,,,,,,,,,,,,14.368358,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2058,,,,,,,,,,,,,,,13.958665,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2059,,,,,,,,,,,,,,,14.227499,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2060,,,,,,,,,,,,,,,12.245791,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2020,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2020,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2020,,,,,,,,,,,,,,33302.237,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2020,,,,,,,,,,,1958.9551,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2021,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2021,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2021,,,,,,,,,,,,,,34008.374,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2021,,,,,,,,,,,2000.4926,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2022,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2022,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2022,,,,,,,,,,,,,,34130.469,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2022,,,,,,,,,,,2007.6746,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2023,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,,2023,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
